都道府県,データ配信元,報告日時,地域名,予報日時,天気,風,波
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,釧路地方,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,南の風　後　やや強く,１．５メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,釧路地方,2022-05-14T00:00:00+09:00,くもり　明け方　まで　雨,南東の風　やや強く　後　西の風　やや強く　海上　では　後　南西の風　強く,２．５メートル　後　３メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,釧路地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南の風　後　やや強く,３メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,根室地方,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,南の風　後　やや強く,１．５メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,根室地方,2022-05-14T00:00:00+09:00,くもり　明け方　まで　雨,南東の風　やや強く　後　西の風　やや強く　海上　では　南東の風　強く,２．５メートル　後　３メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,根室地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南東の風　後　南の風,３メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,十勝地方,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,南東の風　海上　では　南の風　やや強く,１．５メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,十勝地方,2022-05-14T00:00:00+09:00,くもり　明け方　まで　雨,南東の風　後　西の風　やや強く　海上　では　後　西の風　強く,２メートル　後　３メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,十勝地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風,３メートル　後　１．５メートル
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,上川地方,2022-05-13T17:00:00+09:00,雨　夜遅く　くもり,南の風,
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,上川地方,2022-05-14T00:00:00+09:00,くもり　昼過ぎ　まで　時々　雨,南の風　後　西の風　やや強く,
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,上川地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南西の風　後　西の風,
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,留萌地方,2022-05-13T17:00:00+09:00,雨　夜のはじめ頃　くもり,東の風　海上　では　後　北東の風　やや強く,１メートル
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,留萌地方,2022-05-14T00:00:00+09:00,雨　夕方　から　くもり　所により　夕方　まで　霧,南東の風　後　西の風　やや強く,１メートル　後　１．５メートル
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,留萌地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風　やや強く,１．５メートル　後　２メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,石狩地方,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,南東の風　後　南の風　海上　では　北東の風　やや強く,１メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,石狩地方,2022-05-14T00:00:00+09:00,くもり　昼前　まで　時々　雨,南の風　後　やや強く,１メートル　後　１．５メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,石狩地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風,１．５メートル　後　２メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,空知地方,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,南の風,
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,空知地方,2022-05-14T00:00:00+09:00,くもり　昼過ぎ　まで　時々　雨,南の風　後　やや強く,
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,空知地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南の風,
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,後志地方,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,東の風　後　南東の風　海上　では　北東の風　やや強く,１メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,後志地方,2022-05-14T00:00:00+09:00,くもり　昼前　まで　時々　雨,南東の風　後　西の風　海上　では　南東の風　やや強く,１メートル　後　１．５メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,後志地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風　後　南西の風,１．５メートル　後　２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,津軽,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,西の風　後　南西の風,０．５メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,津軽,2022-05-14T00:00:00+09:00,くもり　昼前　一時　雨,西の風　日中　やや強く,０．５メートル　後　１．５メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,津軽,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風　やや強く,１．５メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,下北,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,北の風　海上　では　北東の風　やや強く,２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,下北,2022-05-14T00:00:00+09:00,くもり　所により　昼過ぎ　まで　雨,南の風　後　南西の風　やや強く,２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,下北,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風,１．５メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,三八上北,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,西の風　後　東の風　海上　では　南東の風　やや強く,２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,三八上北,2022-05-14T00:00:00+09:00,くもり　夕方　から　晴れ　所により　昼前　まで　雨,西の風　後　やや強く,２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,三八上北,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風　やや強く,１．５メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,南の風,
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-14T00:00:00+09:00,くもり　朝　から　昼前　雨,南の風　後　西の風,
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,南西の風　後　西の風,
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸北部,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,南の風　後　西の風　海上　では　南東の風　やや強く,２メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸北部,2022-05-14T00:00:00+09:00,くもり　昼過ぎ　から　時々　晴れ　所により　昼前　まで　雨,西の風　海上　では　北西の風　やや強く,２メートル　後　２．５メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸北部,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風,２メートル　後　１メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸南部,2022-05-13T17:00:00+09:00,雨　所により　霧,南の風,１．５メートル　後　２メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸南部,2022-05-14T00:00:00+09:00,くもり　昼過ぎ　から　時々　晴れ　所により　昼前　まで　雨,南の風　後　北西の風　海上　では　南西の風　やや強く,２メートル　後　２．５メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸南部,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,北西の風　後　南の風,２メートル　後　１メートル
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,東部,2022-05-13T17:00:00+09:00,雨　海上　では　霧,東の風　後　南東の風　海上　では　後　南の風　やや強く,１．５メートル　後　２メートル
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,東部,2022-05-14T00:00:00+09:00,くもり　後　晴れ　明け方　まで　雨,北西の風　後　西の風　やや強く,３メートル　後　２メートル
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,東部,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,北西の風　後　南の風,２メートル　後　１メートル
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,西部,2022-05-13T17:00:00+09:00,雨,東の風　後　北の風,
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,西部,2022-05-14T00:00:00+09:00,くもり　明け方　まで　雨,南の風　後　西の風　やや強く,
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,西部,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風,
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,沿岸,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,東の風,０．５メートル
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,沿岸,2022-05-14T00:00:00+09:00,雨　昼過ぎ　から　くもり,南東の風　後　西の風　海上　では　後　西の風　やや強く,０．５メートル　後　１．５メートル
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,沿岸,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風　やや強く,１．５メートル
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,東の風,
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-14T00:00:00+09:00,くもり　朝　から　昼過ぎ　雨,東の風　後　西の風,
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風,
山形,山形地方気象台,2022-05-13T17:00:00+09:00,村山,2022-05-13T17:00:00+09:00,くもり　所により　夜遅く　雨,東の風,
山形,山形地方気象台,2022-05-13T17:00:00+09:00,村山,2022-05-14T00:00:00+09:00,雨　昼過ぎ　から　くもり,南の風　後　西の風　北村山　では　西の風　やや強く,
山形,山形地方気象台,2022-05-13T17:00:00+09:00,村山,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,南西の風　後　西の風,
山形,山形地方気象台,2022-05-13T17:00:00+09:00,置賜,2022-05-13T17:00:00+09:00,くもり　所により　夜　雨,南東の風　後　南の風,
山形,山形地方気象台,2022-05-13T17:00:00+09:00,置賜,2022-05-14T00:00:00+09:00,雨　夕方　から　くもり,南の風　後　西の風,
山形,山形地方気象台,2022-05-13T17:00:00+09:00,置賜,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,北西の風,
山形,山形地方気象台,2022-05-13T17:00:00+09:00,庄内,2022-05-13T17:00:00+09:00,くもり　所により　夜遅く　雨,東の風,０．５メートル
山形,山形地方気象台,2022-05-13T17:00:00+09:00,庄内,2022-05-14T00:00:00+09:00,雨　夕方　から　くもり,東の風　後　西の風　やや強く,０．５メートル　後　１．５メートル
山形,山形地方気象台,2022-05-13T17:00:00+09:00,庄内,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風,１．５メートル
山形,山形地方気象台,2022-05-13T17:00:00+09:00,最上,2022-05-13T17:00:00+09:00,くもり　所により　夜遅く　雨,東の風,
山形,山形地方気象台,2022-05-13T17:00:00+09:00,最上,2022-05-14T00:00:00+09:00,雨　夕方　から　くもり,東の風　後　西の風　やや強く,
山形,山形地方気象台,2022-05-13T17:00:00+09:00,最上,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風,
福島,福島地方気象台,2022-05-13T17:00:00+09:00,中通り,2022-05-13T17:00:00+09:00,くもり　夜　雨,東の風　後　北東の風,
福島,福島地方気象台,2022-05-13T17:00:00+09:00,中通り,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり　後　晴れ,南の風　後　北西の風　やや強く,
福島,福島地方気象台,2022-05-13T17:00:00+09:00,中通り,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風　後　北西の風,
福島,福島地方気象台,2022-05-13T17:00:00+09:00,浜通り,2022-05-13T17:00:00+09:00,くもり　夜　雨,南の風　海上　では　後　南西の風　強く,２メートル　後　３メートル
福島,福島地方気象台,2022-05-13T17:00:00+09:00,浜通り,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり　後　晴れ,南の風　後　北西の風　やや強く　海上　では　はじめ　南西の風　強く,３メートル　後　２メートル
福島,福島地方気象台,2022-05-13T17:00:00+09:00,浜通り,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,北西の風　後　南の風,２メートル　後　１メートル
福島,福島地方気象台,2022-05-13T17:00:00+09:00,会津,2022-05-13T17:00:00+09:00,くもり　夜　雨,東の風　後　南東の風,
福島,福島地方気象台,2022-05-13T17:00:00+09:00,会津,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり,西の風,
福島,福島地方気象台,2022-05-13T17:00:00+09:00,会津,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風　後　北西の風,
茨城,水戸地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-13T17:00:00+09:00,雨,南西の風　やや強く　海上　では　南西の風　強く,２．５メートル　後　３メートル
茨城,水戸地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-14T00:00:00+09:00,雨　昼過ぎ　から　くもり,南西の風　やや強く　後　北東の風　海上　では　南西の風　強く,３メートル　後　２．５メートル　うねり　を伴う
茨城,水戸地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-15T00:00:00+09:00,くもり,北の風　後　東の風,２．５メートル　後　１．５メートル　うねり　を伴う
茨城,水戸地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-13T17:00:00+09:00,雨,南西の風　後　やや強く　海上　では　南西の風　強く,２．５メートル　後　３メートル
茨城,水戸地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-14T00:00:00+09:00,雨　昼過ぎ　から　くもり,南西の風　やや強く　後　北東の風　海上　では　南西の風　強く,３メートル　うねり　を伴う
茨城,水戸地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-15T00:00:00+09:00,くもり,北の風　後　東の風,２．５メートル　後　１．５メートル　うねり　を伴う
栃木,宇都宮地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-13T17:00:00+09:00,雨,北の風,
栃木,宇都宮地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり,北の風　後　東の風,
栃木,宇都宮地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-15T00:00:00+09:00,くもり,北の風　後　南東の風,
栃木,宇都宮地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-13T17:00:00+09:00,雨,北の風,
栃木,宇都宮地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり,北の風　後　北西の風　やや強く,
栃木,宇都宮地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-15T00:00:00+09:00,くもり,北の風　後　南の風,
群馬,前橋地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-13T17:00:00+09:00,雨　所により　霧,北西の風,
群馬,前橋地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり　所により　昼前　まで　霧,北西の風　日中　やや強く,
群馬,前橋地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-15T00:00:00+09:00,くもり,北西の風　後　南東の風,
群馬,前橋地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-13T17:00:00+09:00,雨　所により　霧,北の風,
群馬,前橋地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり　所により　昼前　まで　霧,北の風,
群馬,前橋地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-15T00:00:00+09:00,くもり,北の風　後　南の風,
埼玉,熊谷地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-13T17:00:00+09:00,雨,北西の風,
埼玉,熊谷地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり,北西の風,
埼玉,熊谷地方気象台,2022-05-13T17:00:00+09:00,北部,2022-05-15T00:00:00+09:00,くもり,北の風　後　南東の風,
埼玉,熊谷地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-13T17:00:00+09:00,雨,北の風　後　南の風,
埼玉,熊谷地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり,南の風　後　北の風,
埼玉,熊谷地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-15T00:00:00+09:00,くもり,北東の風　後　南東の風,
埼玉,熊谷地方気象台,2022-05-13T17:00:00+09:00,秩父地方,2022-05-13T17:00:00+09:00,雨,東の風　後　南西の風,
埼玉,熊谷地方気象台,2022-05-13T17:00:00+09:00,秩父地方,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり,南西の風　後　北東の風,
埼玉,熊谷地方気象台,2022-05-13T17:00:00+09:00,秩父地方,2022-05-15T00:00:00+09:00,くもり,南西の風　後　東の風,
千葉,銚子地方気象台,2022-05-13T17:00:00+09:00,北西部,2022-05-13T17:00:00+09:00,雨　所により　雷　を伴う,南西の風　後　やや強く　海上　では　後　南西の風　強く,１メートル　後　１．５メートル
千葉,銚子地方気象台,2022-05-13T17:00:00+09:00,北西部,2022-05-14T00:00:00+09:00,雨　昼過ぎ　から　くもり　所により　朝　から　昼前　雷を伴い　激しく　降る,南西の風　やや強く　海上　では　南西の風　強く,１．５メートル　後　０．５メートル
千葉,銚子地方気象台,2022-05-13T17:00:00+09:00,北西部,2022-05-15T00:00:00+09:00,くもり,北東の風　後　南東の風,０．５メートル
千葉,銚子地方気象台,2022-05-13T17:00:00+09:00,北東部,2022-05-13T17:00:00+09:00,雨　所により　雷　を伴う,南西の風　やや強く　海上　では　南西の風　強く,２．５メートル　後　３メートル
千葉,銚子地方気象台,2022-05-13T17:00:00+09:00,北東部,2022-05-14T00:00:00+09:00,雨　昼過ぎ　から　くもり　所により　朝　から　昼前　雷を伴い　激しく　降る,南西の風　強く　後　北東の風,３メートル　うねり　を伴う
千葉,銚子地方気象台,2022-05-13T17:00:00+09:00,北東部,2022-05-15T00:00:00+09:00,くもり,北の風　やや強く　後　東の風,２．５メートル　後　２メートル　うねり　を伴う
千葉,銚子地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-13T17:00:00+09:00,雨　所により　雷　を伴う,南西の風　やや強く　海上　では　南西の風　強く,２．５メートル　後　３メートル
千葉,銚子地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-14T00:00:00+09:00,雨　昼過ぎ　から　くもり　所により　朝　から　昼前　雷を伴い　激しく　降る,南西の風　強く　後　西の風,３メートル　うねり　を伴う
千葉,銚子地方気象台,2022-05-13T17:00:00+09:00,南部,2022-05-15T00:00:00+09:00,くもり,北東の風　後　東の風,２．５メートル　後　２メートル　うねり　を伴う
東京,気象庁,2022-05-13T17:00:00+09:00,東京地方,2022-05-13T17:00:00+09:00,雨　所により　雷　を伴う,北の風　後　南の風　海上　では　後　南の風　強く,１メートル　後　１．５メートル
東京,気象庁,2022-05-13T17:00:00+09:00,東京地方,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり　所により　朝　まで　雷　を伴う,南の風　後　北の風　海上　では　南の風　強く,１．５メートル　後　０．５メートル
東京,気象庁,2022-05-13T17:00:00+09:00,東京地方,2022-05-15T00:00:00+09:00,くもり,北東の風　後　南東の風,０．５メートル
東京,気象庁,2022-05-13T17:00:00+09:00,伊豆諸島北部,2022-05-13T17:00:00+09:00,雨　所により　雷　を伴う,南西の風　やや強く　後　強く,３メートル
東京,気象庁,2022-05-13T17:00:00+09:00,伊豆諸島北部,2022-05-14T00:00:00+09:00,雨　昼過ぎ　から　くもり　後　晴れ　所により　昼前　まで　雷を伴い　激しく　降る,南西の風　強く　後　西の風　やや強く,３メートル　ただし　新島　では　４メートル　後　３メートル
東京,気象庁,2022-05-13T17:00:00+09:00,伊豆諸島北部,2022-05-15T00:00:00+09:00,くもり,北東の風　やや強く　後　東の風,２．５メートル　後　２メートル
東京,気象庁,2022-05-13T17:00:00+09:00,伊豆諸島南部,2022-05-13T17:00:00+09:00,雨　所により　雷　を伴う,南西の風　やや強く　三宅島　では　南西の風　強く,２．５メートル　ただし　三宅島　では　３メートル
東京,気象庁,2022-05-13T17:00:00+09:00,伊豆諸島南部,2022-05-14T00:00:00+09:00,雨　夕方　から　晴れ　所により　昼前　まで　雷を伴い　激しく　降る,南西の風　強く　後　西の風　やや強く,３メートル　後　４メートル
東京,気象庁,2022-05-13T17:00:00+09:00,伊豆諸島南部,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風　やや強く,２．５メートル　後　２メートル
東京,気象庁,2022-05-13T17:00:00+09:00,小笠原諸島,2022-05-13T17:00:00+09:00,晴れ　夜のはじめ頃　くもり,南東の風,１．５メートル
東京,気象庁,2022-05-13T17:00:00+09:00,小笠原諸島,2022-05-14T00:00:00+09:00,晴れ　時々　くもり,南の風,１．５メートル
東京,気象庁,2022-05-13T17:00:00+09:00,小笠原諸島,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南の風,１．５メートル
神奈川,横浜地方気象台,2022-05-13T17:00:00+09:00,東部,2022-05-13T17:00:00+09:00,雨　所により　雷　を伴う,南の風　やや強く　海上　では　南西の風　強く,２メートル　後　２．５メートル
神奈川,横浜地方気象台,2022-05-13T17:00:00+09:00,東部,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり　所により　明け方　から　朝　雷を伴い　激しく　降る,南の風　やや強く　後　北の風　海上　では　南西の風　強く,２．５メートル　後　１．５メートル
神奈川,横浜地方気象台,2022-05-13T17:00:00+09:00,東部,2022-05-15T00:00:00+09:00,くもり,北東の風　後　南東の風,１．５メートル　後　１メートル
神奈川,横浜地方気象台,2022-05-13T17:00:00+09:00,西部,2022-05-13T17:00:00+09:00,雨　所により　雷　を伴う,南の風　やや強く　海上　では　南西の風　強く,２メートル　後　２．５メートル
神奈川,横浜地方気象台,2022-05-13T17:00:00+09:00,西部,2022-05-14T00:00:00+09:00,雨　昼前　から　くもり　所により　明け方　から　朝　雷を伴い　激しく　降る,南の風　やや強く　後　北の風　海上　では　南西の風　強く,２．５メートル　後　１．５メートル
神奈川,横浜地方気象台,2022-05-13T17:00:00+09:00,西部,2022-05-15T00:00:00+09:00,くもり,北東の風　後　南東の風,１．５メートル　後　１メートル
新潟,新潟地方気象台,2022-05-13T17:00:00+09:00,下越,2022-05-13T17:00:00+09:00,くもり　夜　雨,南東の風,０．５メートル
新潟,新潟地方気象台,2022-05-13T17:00:00+09:00,下越,2022-05-14T00:00:00+09:00,雨　夕方　から　くもり,南西の風　後　西の風　海上　では　南西の風　やや強く,０．５メートル　後　１．５メートル
新潟,新潟地方気象台,2022-05-13T17:00:00+09:00,下越,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南西の風　後　西の風,１．５メートル　後　１メートル
新潟,新潟地方気象台,2022-05-13T17:00:00+09:00,中越,2022-05-13T17:00:00+09:00,くもり　夜　雨,南東の風,０．５メートル
新潟,新潟地方気象台,2022-05-13T17:00:00+09:00,中越,2022-05-14T00:00:00+09:00,雨　夕方　から　くもり,西の風　海上　では　西の風　やや強く,０．５メートル　後　１メートル
